thread_n,index,time_to_align,min,max,cv
20,B,22.111,22.074,22.202,0.1810887649806044
16,B,25.965,25.242,28.834,4.648687548465215
4,H_XXH,41.982,41.546,42.529,0.8432086060360752
1,B,385.425,381.855,390.019,0.7116947788725441
1,H_XXH,166.642,165.559,168.027,0.48218454889211876
8,B,38.498,38.083,39.152,0.8379231229873573
24,R,16.036,15.707,16.173,0.9205190193537351
16,R,20.342,18.507,24.588,12.234377130599658
4,H_OG,53.96,53.778,54.22,0.2664447369495594
12,R,22.054,20.879,23.734,4.107911130284517
4,R,47.005,46.617,47.354,0.48331121882063555
20,H_OG,18.706,18.55,19.158,1.07129285843044
8,R,26.876,26.005,27.857,2.6942073812291687
20,R,16.43,16.337,16.601,0.5217233151488581
4,B,72.294,71.835,72.718,0.4040073318288513
24,B,21.023,20.697,21.141,0.6674152966243528
1,H_OG,215.434,214.01,215.984,0.29525018532281183
1,R,235.544,226.138,243.458,2.225583850664492
8,H_XXH,24.515,23.952,25.655,2.334391763046142
24,H_OG,17.816,17.461,17.963,0.8754015139147713
16,H_OG,23.845,20.817,26.262,7.9787459396712554
12,B,29.498,28.289,31.504,3.4477020073751827
24,H_XXH,15.125,14.837,15.214,0.8020261907283734
20,H_XXH,15.647,15.439,16.792,2.9870277298283754
12,H_XXH,19.774,19.206,20.632,2.549655027907533
8,H_OG,29.746,29.018,31.108,2.2997908774680647
12,H_OG,24.519,23.294,26.243,3.5388655278129137
16,H_XXH,18.366,16.987,21.454,9.481384236455279
32,H_XXH,18.83,17.285,21.819,7.581148494435403
28,H_OG,22.931,19.423,25.335,8.923990068523896
44,B,16.505,15.417,18.509,7.675129215483663
36,H_XXH,17.777,15.621,19.766,8.499519421794046
28,H_XXH,19.838,18.139,21.258,5.477720185864117
40,H_OG,17.687,14.758,20.107,10.464732098043788
32,H_OG,21.292,17.626,24.337,10.239290859155261
40,R,16.866,14.596,19.111,7.64751271215708
28,R,21.653,19.305,23.25,6.344668685604896
44,H_XXH,13.685,12.75,17.032,10.301505582486264
32,B,22.921,18.025,26.691,12.187698986241456
48,H_XXH,17.031,16.019,18.086,4.121238730139133
40,H_XXH,14.94,13.791,18.497,10.704910326428298
36,H_OG,18.217,15.824,21.207,8.70938977910245
48,R,16.74,16.254,17.141,1.687763996814742
36,R,18.677,16.357,21.3,9.137877476608509
32,R,18.983,16.276,21.675,11.055529315719777
48,B,18.672,17.765,19.918,3.4013723627245254
40,B,19.616,16.061,23.25,10.659978126634757
48,H_OG,16.268,14.304,19.031,10.750028249632745
36,B,21.341,19.506,22.89,6.248991416469854
44,R,15.585,12.974,20.197,14.788383232265092
44,H_OG,15.278,14.359,18.448,9.275064295207246
28,B,25.507,21.747,27.882,7.865270295434966
