thread_n,index,time_to_align,min,max,cv
20,B,28.096,23.309,32.835,12.091471827537074
16,B,24.559,23.677,27.258,4.611880475179563
32,H_XXH,18.83,17.285,21.819,7.581148494435403
28,H_OG,22.931,19.423,25.335,8.923990068523896
44,B,16.505,15.417,18.509,7.675129215483663
36,H_XXH,17.777,15.621,19.766,8.499519421794046
4,H_XXH,45.922,44.863,46.887,1.7020280638915692
28,H_XXH,19.838,18.139,21.258,5.477720185864117
1,B,418.871,417.338,420.57,0.274097152509729
1,H_XXH,186.05,180.424,202.783,4.264832328042253
40,H_OG,17.687,14.758,20.107,10.464732098043788
32,H_OG,21.292,17.626,24.337,10.239290859155261
40,R,16.866,14.596,19.111,7.64751271215708
8,B,43.662,41.284,46.619,4.434369398212862
24,R,22.558,20.162,24.401,6.5006184065144375
28,R,21.653,19.305,23.25,6.344668685604896
16,R,18.782,17.844,19.711,3.16498407929389
4,H_OG,57.948,56.83,59.115,1.4798341540734057
44,H_XXH,13.685,12.75,17.032,10.301505582486264
12,R,22.871,21.344,24.34,4.752627727114386
32,B,22.921,18.025,26.691,12.187698986241456
4,R,49.011,48.509,49.795,0.9686583680475291
20,H_OG,25.289,20.903,27.572,8.449754649881793
48,H_XXH,17.031,16.019,18.086,4.121238730139133
40,H_XXH,14.94,13.791,18.497,10.704910326428298
8,R,32.808,28.478,36.968,9.469788663117493
36,H_OG,18.217,15.824,21.207,8.70938977910245
48,R,16.74,16.254,17.141,1.687763996814742
36,R,18.677,16.357,21.3,9.137877476608509
20,R,22.451,18.317,25.318,12.720045263624586
4,B,74.732,73.123,75.192,0.9506274844938865
32,R,18.983,16.276,21.675,11.055529315719777
24,B,26.264,22.887,30.147,8.949620689022613
1,H_OG,228.274,227.16,229.518,0.4166740451480879
48,B,18.672,17.765,19.918,3.4013723627245254
1,R,246.771,214.431,272.771,8.004879286287473
8,H_XXH,27.802,26.503,30.426,4.993543676887192
40,B,19.616,16.061,23.25,10.659978126634757
24,H_OG,24.542,19.87,26.3,8.58130702434099
16,H_OG,22.613,20.933,23.951,5.002509215711344
12,B,29.856,28.732,32.008,3.2704888881715175
48,H_OG,16.268,14.304,19.031,10.750028249632745
24,H_XXH,19.667,17.628,23.252,9.473362244892472
36,B,21.341,19.506,22.89,6.248991416469854
20,H_XXH,21.281,16.919,25.087,13.313444647007797
12,H_XXH,20.156,19.148,22.367,5.1096516163564605
8,H_OG,32.57,31.78,33.165,1.227358784933696
44,R,15.585,12.974,20.197,14.788383232265092
12,H_OG,24.004,22.805,27.75,6.582915363917848
16,H_XXH,17.805,16.957,19.328,4.87538944832969
44,H_OG,15.278,14.359,18.448,9.275064295207246
28,B,25.507,21.747,27.882,7.865270295434966
